Aggregate Dataset,Released:,,20210218,Nursing Homes,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Uncategorized Long Term Care Facilities,,,,,,,,,,,,,Other Care Facilities,,,,,,,,,,,,
Date,State,,Data Type,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak
20200528,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,2771,,787,,,,,,,,,,266,,,,,,,,,,,,,
20200528,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,148,,,,,,,,,,177,,,,,,,,,,,,,
20200528,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,MS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,,352,,,,,,,,,,127,,,,,,,,,,,,,
20200528,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,NC,,Aggregate,2171,,427,,918,,3,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,49,,129,,0,,,,,,30
20200528,ND,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,NE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,87,,356,,,,,,,,107,,,,,,,,,,,,,
20200528,NH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,011",,214,,,,,,,,,,,,,,,
20200528,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,21058,,5751,,10254,,104,,,,,,537,,,,,,,,,,,,,
20200528,NM,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,453,,129,,316,,3,,,,,,,,,,,,,,,,,,,
20200528,NV,,Aggregate,531,,79,,368,,1,,,,,,38,131,,17,,42,,1,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,NY,,Aggregate,,,,,,,,,,,3282,2646,384,,,,,,,,,,,115,52,56,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,OH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,323",,1073,,2439,,,,,,,,,,,,,,,,,,,,,
20200528,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,779,,151,,466,,2,,,,,,,,,,,,,,,,,,,
20200528,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,56,,19
20200528,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,15158,,,,2563,,,,,,3501,,600,,,,,,,,,,,,,
20200528,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
20200528,RI,,Aggregate,,,,,,,,,,,,,,150,,30,,,,,,,,,,9,2455,,520,,,,,,,,,,50,,,,,,,,,,,,,
20200528,SC,,Aggregate,1158,,175,,496,,2,,,,,,78,98,,12,,53,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,TN,,Aggregate,,,95,,,,,,852,,,,37,,,30,,,,,,221,,,,28,,,,,,,,,,,,,,,,,,,,,,2,,,,1
20200528,TX,,Aggregate,3653,,606,,,,,,,,,,373,489,,109,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,46,,223,,,,,,,,,,,,,,,,,,,,,
20200528,VA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614,,755,,197,,,,,,,,,,,,,
20200528,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
