Aggregate Dataset,Released:,,20210218,Nursing Homes,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Uncategorized Long Term Care Facilities,,,,,,,,,,,,,Other Care Facilities,,,,,,,,,,,,
Date,State,,Data Type,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak
20201015,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,26,,,,,,,,,,,,,,,,,,,,,
20201015,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,454",,"1,005",,3334,,,,,,,,,,,,,,,,,,,,,
20201015,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3396,,562,,2347,,2,,,,,,263,,,,,,,,,,,,,
20201015,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,376,5028,,1449,,3076,,10,,,,,,179,,,,,,,,,,,,,
20201015,CA,,Aggregate,26721,,4596,,20245,,152,,,,,,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10277,,1101,,383
20201015,CO,,Aggregate,2022,494,524,124,1363,594,5,0,,,,,112,736,108,194,17,443,158,0,0,,,,,77,,,,,,,,,,,,,,485,80,163,18,291,181,2,0,,,,,34
20201015,CT,,Aggregate,9038,,2891,,485,,3,,,,,,187,1107,,383,,149,,0,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,DC,,Aggregate,717,,163,,384,,7,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1374,,384,,461,,1,,,,,,,,,,,,,,,,,,,
20201015,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48803,,6326,,1055,,,,,,,,,,,,,
20201015,GA,,Aggregate,13498,,2273,,6719,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,1435,,307,,1202,,,,,,,,291
20201015,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,HI,,Aggregate,45,,10,,31,,,,,,1,,18,1,,,,1,,,,4,,0,,5,,,,,,,,,,,,,,6,,,,4,,,,,,3,,4
20201015,IA,,Aggregate,,,,,,,,,4983,,758,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,ID,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2987,,283,,190,,,,,,,,,,,,,
20201015,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30920,,4792,,889,,,,,,,,,,,,,
20201015,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,9110,,2025,,4495,,,,,,,,620,,,,,,,,,,,,,
20201015,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3516,,405,,240,,,,,,,,,,,,,
20201015,KY,,Aggregate,5084,,748,,3401,,5,,,,,,255,82,,15,,118,,0,,,,,,52,,,,,,,,,,,,,,234,,16,,165,,0,,,,,,40
20201015,LA,,Aggregate,10397,,2043,,6364,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,1245,,146,,,,,,,,,,185
20201015,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25246,,6236,389,,,,,,,,,,,,,
20201015,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16040,,2163,,227
20201015,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,454,,86,,278,,,,,,,,25,,,,,,,,,,,,,
20201015,MI,,Aggregate,8869,,2195,,5170,,22,,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,5664,,1546,,3316,,,,,,,,616,,,,,,,,,,,,,
20201015,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,2320,,494,,,,,,,,,,630,,,,,,,,,,,,,
20201015,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,MS,,Aggregate,,,,,,,,,,,,,146,,,,,,,,,,,,,9,6422,,1273,,,,,,,,,,203,,,,,,,,,,,,,35
20201015,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,347,,35,,59,,,,,,,,,390,,23,,38,,,,,,,,,,,,,
20201015,NC,,Aggregate,,,,,,,,,13225,,1571,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4831,,393,,110
20201015,ND,,Aggregate,885,,,,1302,,,,,,,,74,335,,,,326,,,,,,,,56,,,,,,,,,,,230,,,58,,,,93,,,,,,,,22
20201015,NE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1368,,,,1422,,,,,,230,,282,,,,,,,,,,,,,
20201015,NH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3364,,383,,,,,,,,,,,,,,,
20201015,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,25387,,6804,,13839,,121,,,,,,759,,,,,,,,,,,,,
20201015,NM,,Aggregate,,,,,,,,,,,,,34,,,,,,,,,,,,,18,1032,,298,,784,,4,,,,,,,,,,,,,,,,,,,2
20201015,NV,,Aggregate,"1,441",,220,,1011,,5,,,,,,54,490,,98,,274,,1,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,NY,,Aggregate,,,,,,,,,,,3736,2783,407,,,,,,,,,,,126,52,61,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,OH,,Aggregate,12504,,,,7341,,,,,,,,795,1367,,,,989,,,,,,,,267,,,2800,,,,,,,,,,,351,,,,358,,,,,,,,73
20201015,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3035,,415,,1736,,3,,,,,,357,,,,,,,,,,,,,
20201015,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082,,321,,142
20201015,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,24213,,,,5332,,,,,,5585,,1014,,,,,,,,,,,,,
20201015,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,77,,66,,,,,,,,,,,,,,,,,,,,,
20201015,RI,,Aggregate,,,,,,,,,,,,,,285,,65,,,,,,,,,,15,3085,,820,,,,,,,,,,59,,,,,,,,,,,,,
20201015,SC,,Aggregate,4918,,1104,,2371,,18,,,,,,178,1152,,253,,620,,4,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,790,,149,,596,,,,,,,,150,,,,,,,,,,,,,
20201015,TN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,5452,,791,,4917,,,,,,,,445,,,,,,,,,,,,,
20201015,TX,,Aggregate,31964,,4251,,,,,,,,,,1119,3008,,533,,,,,,,,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1682,,220,,1728,,,,,,,,,,,,,,,,,,,,,
20201015,VA,,Aggregate,,,,,,,,,6751,,952,,170,,,,,,,,,2078,,259,,133,,,,,,,,,835,,123,,94,,,,,,,,,1974,,336,,58
20201015,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,32,,68,,0,,,,,,12,,,,,,,,,,,,,
20201015,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,629",66,"1,203",,639,,,,,,,,,,,,,
20201015,WI,,Aggregate,,,,,,,,,,,,,409,,,,,,,,,,,,,,"2,243",,492,,,,,,,,,,619,,,,,,,,,,,,,
20201015,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,,,,780,,,,,,175,,123,,,,,,,,,,,,,
20201015,WY,,Aggregate,86,,8,,63,,,,,,,,14,38,1,1,,16,,,,,,,,5,,,,,,,,,,,,,,12,,,,15,,,,,,,,1
20201022,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,26,,,,,,,,,,,,,,,,,,,,,
20201022,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,6579,,1016,,3421,,,,,,,,,,,,,,,,,,,,,
20201022,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3956,,630,,2838,,2,,,,,,270,,,,,,,,,,,,,
20201022,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,387,5028,,1449,,3076,,10,,,,,,190,,,,,,,,,,,,,
20201022,CA,,Aggregate,27019,,4650,,20568,,151,,,,,,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10573,,1117,,388
20201022,CO,,Aggregate,2066,494,532,125,1401,611,5,0,,,,,118,776,103,199,17,459,164,0,0,,,,,81,,,,,,,,,,,,,,485,79,163,18,293,181,2,0,,,,,33
20201022,CT,,Aggregate,9109,,2906,,657,,3,,,,,,187,1134,,406,,188,,0,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,DC,,Aggregate,722,,163,,398,,7,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,,393,,461,,1,,,,,,35,,,,,,,,,,,,,
20201022,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49858,,6591,,1106,,,,,,,,,,,,,
20201022,GA,,Aggregate,13722,,2304,,6891,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,1453,,310,,1196,,,,,,,,287
20201022,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,HI,,Aggregate,45,,24,,31,,,,,,1,,18,1,,,,1,,,,4,,0,,5,,,,,,,,,,,,,,6,,,,4,,,,,,3,,4
20201022,IA,,Aggregate,3738,,,,,,,,1245,,794,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,ID,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095,,290,,194,,,,,,,,,,,,,
20201022,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31995,,4888,,928,,,,,,,,,,,,,
20201022,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,9612,,2109,,4923,,,,,,,,631,,,,,,,,,,,,,
20201022,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3802,,440,,250,,,,,,,,,,,,,
20201022,KY,,Aggregate,5456,,792,,3667,,5,,,,,,255,91,,15,,126,,0,,,,,,53,,,,,,,,,,,,,,275,,17,,181,,1,,,,,,42
20201022,LA,,Aggregate,"10,538",,2068,,6511,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,1265,,148,,,,,,,,,,188
20201022,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25428,,6314,390,,,,,,,,,,,,,
20201022,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16195,,2166,,227
20201022,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,89,,286,,,,,,,,26,,,,,,,,,,,,,
20201022,MI,,Aggregate,9185,,2222,,5424,,22,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,990",,1621,,3316,,,,,,,,805,,,,,,,,,,,,,
20201022,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,320",,494,,,,,,,,,,630,,,,,,,,,,,,,
20201022,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,MS,,Aggregate,,,,,,,,,,,,,146,,,,,,,,,,,,,9,6634,,1298,,,,,,,,,,203,,,,,,,,,,,,,35
20201022,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,677,,43,,71,,,,,,,,,664,,48,,53,,,,,,,,,,,,,
20201022,NC,,Aggregate,,,,,,,,,13966,,1644,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5119,,420,,110
20201022,ND,,Aggregate,1004,,,,1572,,,,,,,,75,445,,,,408,,,,,,,,56,,,,,,,,,,,258,,,65,,,,116,,,,,,,,23
20201022,NE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1494,,,,1525,,,,,,237,,291,,,,,,,,,,,,,
20201022,NH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3478,,388,,,,,,,,,,,,,,,
20201022,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,25477,,6820,,13933,,121,,,,,,785,,,,,,,,,,,,,
20201022,NM,,Aggregate,,,,,,,,,,,,,34,,,,,,,,,,,,,18,1032,,298,,784,,4,,,,,,,,,,,,,,,,,,,2
20201022,NV,,Aggregate,1470,,236,,1038,,6,,,,,,55,500,,103,,288,,1,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,NY,,Aggregate,,,,,,,,,,,3747,2783,407,,,,,,,,,,,126,52,61,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,OH,,Aggregate,13295,,,,7799,,,,,,,,838,1393,,,,1049,,,,,,,,278,,,2845,,,,,,,,,,,403,,,,403,,,,,,,,77
20201022,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3232,,429,,1852,,4,,,,,,365,,,,,,,,,,,,,
20201022,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184,,219,,155
20201022,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,24990,,,,5436,,,,,,5670,,1036,,,,,,,,,,,,,
20201022,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,83,,67,,,,,,,,,,,,,,,,,,,,,
20201022,RI,,Aggregate,,,,,,,,,,,,,,300,,70,,,,,,,,,,17,3095,,835,,,,,,,,,,59,,,,,,,,,,,,,
20201022,SC,,Aggregate,5079,,1125,,2422,,13,,,,,,178,1198,,259,,656,,4,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,876,,160,,648,,,,,,,,162,,,,,,,,,,,,,
20201022,TN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,5877,,834,,5198,,,,,,,,459,,,,,,,,,,,,,
20201022,TX,,Aggregate,33437,,4373,,,,,,,,,,1131,3164,,569,,,,,,,,,,694,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,,232,,1907,,,,,,,,,,,,,,,,,,,,,
20201022,VA,,Aggregate,,,,,,,,,7010,,991,,172,,,,,,,,,2128,,268,,136,,,,,,,,,868,,124,,96,,,,,,,,,2012,,333,,58
20201022,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,32,,68,,0,,,,,,12,,,,,,,,,,,,,
20201022,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7929,66,1242,,659,,,,,,,,,,,,,
20201022,WI,,Aggregate,,,,,,,,,,,,,438,,,,,,,,,,,,,,2484,,528,,,,,,,,,,647,,,,,,,,,,,,,
20201022,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,854,,,,,,178,,123,,,,,,,,,,,,,
20201022,WY,,Aggregate,139,,10,,81,,,,,,,,15,42,1,2,,19,,,,,,,,6,,,,,,,,,,,,,,12,,,,15,,,,,,,,1
20201029,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,26,,,,,,,,,,,,,,,,,,,,,
20201029,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,6721,,1022,,3503,,,,,,,,,,,,,,,,,,,,,
20201029,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,4547,,674,,3230,,2,,,,,,276,,,,,,,,,,,,,
20201029,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,393,5137,,1476,,3193,,10,,,,,,195,,,,,,,,,,,,,
20201029,CA,,Aggregate,27339,,4698,,20912,,153,,,,,,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10880,,1144,,395
20201029,CO,,Aggregate,2089,490,519,122,1415,605,6,0,,,,,125,864,104,209,17,501,165,0,0,,,,,84,,,,,,,,,,,,,,486,79,164,18,293,181,2,0,,,,,33
20201029,CT,,Aggregate,9265,,2925,,755,,3,,,,,,189,1160,,405,,231,,0,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,DC,,Aggregate,725,,163,,405,,7,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1499,,399,,461,,1,,,,,,35,,,,,,,,,,,,,
20201029,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50618,,6688,,1115,,,,,,,,,,,,,
20201029,GA,,Aggregate,13981,,2323,,7051,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,1499,,315,,1230,,,,,,,,290
20201029,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,HI,,Aggregate,45,,24,,31,,,,,,1,,18,1,,,,1,,,,4,,0,,5,,,,,,,,,,,,,,6,,,,4,,,,,,3,,4
20201029,IA,,Aggregate,"3,976",,,,,,,,1245,,831,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,ID,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289,,301,,207,,,,,,,,,,,,,
20201029,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33440,,5019,,976,,,,,,,,,,,,,
20201029,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,10276,,2211,,5378,,,,,,,,647,,,,,,,,,,,,,
20201029,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4158,,479,,277,,,,,,,,,,,,,
20201029,KY,,Aggregate,5848,,830,,3985,,5,,,,,,259,95,,16,,136,,0,,,,,,56,,,,,,,,,,,,,,285,,20,,188,,1,,,,,,42
20201029,LA,,Aggregate,10647,,2094,,6574,,,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,1293,,149,,,,,,,,,,188
20201029,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25626,,6390,391,,,,,,,,,,,,,
20201029,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16412,,2172,,227
20201029,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,,,,,,,,,,
20201029,MI,,Aggregate,9185,,2222,,5424,,22,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,6414,,1689,,4926,,,,,,,,805,,,,,,,,,,,,,
20201029,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,320",,494,,,,,,,,,,630,,,,,,,,,,,,,
20201029,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,MS,,Aggregate,,,,,,,,,,,,,146,,,,,,,,,,,,,9,6798,,1317,,,,,,,,,,203,,,,,,,,,,,,,35
20201029,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,803,,62,,96,,,,,,,,,796,,55,,56,,,,,,,,,,,,,
20201029,NC,,Aggregate,,,,,,,,,14617,,1709,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5510,,444,,110
20201029,ND,,Aggregate,1122,,,,1772,,,,,,,,76,509,,,,474,,,,,,,,56,,,,,,,,,,,304,,,87,,,,139,,,,,,,,25
20201029,NE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,560",,,,"1,625",,,,,,235,,301,,,,,,,,,,,,,
20201029,NH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599,,396,,,,,,,,,,,,,,,
20201029,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,605",,6845,,"14,088",,121,,,,,,807,,,,,,,,,,,,,
20201029,NM,,Aggregate,,,,,,,,,,,,,45,,,,,,,,,,,,,22,"1,303",,309,,"1,007",,4,,,,,,,,,,,,,,,,,,,2
20201029,NV,,Aggregate,1490,,248,,1075,,6,,,,,,55,511,,106,,295,,2,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,NY,,Aggregate,,,,,,,,,,,3767,2783,412,,,,,,,,,,,127,52,61,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,OH,,Aggregate,14180,,,,8410,,,,,,,,855,1533,,,,1188,,,,,,,,287,,,2901,,,,,,,,,,,418,,,,421,,,,,,,,80
20201029,OK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3445,,458,,1967,,4,,,,,,370,,,,,,,,,,,,,
20201029,OR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2535,,268,,185
20201029,PA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,25624,,,,5539,,,,,,5706,,1052,,,,,,,,,,,,,
20201029,PR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,86,,67,,,,,,,,,,,,,,,,,,,,,
20201029,RI,,Aggregate,,,,,,,,,,,,,,300,,75,,,,,,,,,,17,3120,,845,,,,,,,,,,60,,,,,,,,,,,,,
20201029,SC,,Aggregate,5194,,1157,,2487,,13,,,,,,178,1215,,265,,680,,5,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,SD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,,189,,705,,,,,,,,180,,,,,,,,,,,,,
20201029,TN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,6436,,897,,5651,,,,,,,,476,,,,,,,,,,,,,
20201029,TX,,Aggregate,35061,,4494,,,,,,,,,,1144,3359,,594,,,,,,,,,,723,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,UT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,,244,,2064,,,,,,,,117,,,,,,,,,,,,,
20201029,VA,,Aggregate,,,,,,,,,7272,,1042,,179,,,,,,,,,2211,,278,,139,,,,,,,,,932,,124,,102,,,,,,,,,2070,,338,,61
20201029,VI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,32,,68,,0,,,,,,12,,,,,,,,,,,,,
20201029,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8214,66,1275,,706,,,,,,,,,,,,,
20201029,WI,,Aggregate,,,,,,,,,,,,,472,,,,,,,,,,,,,,"2,838",,580,,,,,,,,,,725,,,,,,,,,,,,,
20201029,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250",,,,956,,,,,,187,,123,,,,,,,,,,,,,
20201029,WY,,Aggregate,186,,16,,90,,,,,,,,15,44,1,2,,22,,,,,,,,6,,,,,,,,,,,,,,12,,,,15,,,,,,,,1
20201105,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,26,,,,,,,,,,,,,,,,,,,,,
20201105,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,6861,,1047,,3566,,,,,,,,,,,,,,,,,,,,,
20201105,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,5001,,815,,3593,,3,,,,,,280,,,,,,,,,,,,,
20201105,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201105,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,400,5253,,1497,,3236,,10,,,,,,209,,,,,,,,,,,,,
20201105,CA,,Aggregate,27721,,4744,,21355,,154,,,,,,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11156,,1175,,404
20201105,CO,,Aggregate,2508,541,559,125,1658,646,6,,,,,,139,929,107,215,17,541,174,,,,,,,93,,,,,,,,,,,,,,493,79,165,18,299,181,2,,,,,,33
20201105,CT,,Aggregate,9307,,2948,,778,,3,,,,,,192,1182,,389,,269,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,
20201105,DC,,Aggregate,729,,163,,413,,7,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201105,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1527,,412,,461,,1,,,,,,38,,,,,,,,,,,,,
20201105,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51563,,6819,,1136,,,,,,,,,,,,,
20201105,GA,,Aggregate,14247,,2360,,7166,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,1544,,320,,1233,,,,,,,,295
